n_train,n_test,repetition,covariate_index,covariate,mse_mlm,mse_bayes,ratio_mlm_bayes,percent_reduction
50,48,7,1,SAMS status,0.06366115749833967,0.043547312451844504,1.4618848767931996,31.59516074934665
50,48,7,2,Fish Oil,0.028201851586734453,0.030136694432839974,0.9357977746890143,-6.860694377299792
50,48,7,3,Interaction SAMS-Fish Oil,0.0400125995783534,0.032714793835914434,1.223073566626833,18.23876933601445
50,48,8,1,SAMS status,0.05063952644484703,0.03748927274373592,1.3507737744341384,25.96835836415934
50,48,8,2,Fish Oil,0.037659329373602925,0.04191116654438558,0.8985512091084416,-11.290262576377552
50,48,8,3,Interaction SAMS-Fish Oil,0.09011329704508793,0.05716398275112002,1.57639990616858,36.56431999983511
50,48,9,1,SAMS status,0.021249463058038594,0.01805922906357374,1.176653941496301,15.013245208838356
50,48,9,2,Fish Oil,0.023253089490988154,0.020307220612313142,1.1450650945747252,12.668720342803041
50,48,9,3,Interaction SAMS-Fish Oil,0.03138440293120042,0.018236422592741833,1.7209736598060374,41.89335819859642
50,48,10,1,SAMS status,0.0457056431763677,0.03337852187651955,1.3693129775324109,26.970676798662662
50,48,10,2,Fish Oil,0.0520919043414329,0.035743135213156585,1.4573960574745144,31.384471992268516
50,48,10,3,Interaction SAMS-Fish Oil,0.08120213244637486,0.059158052891436046,1.3726302418268064,27.147168295729827
50,48,11,1,SAMS status,0.035772343259354626,0.030047234755012316,1.1905369512709412,16.004287062869913
50,48,11,2,Fish Oil,0.05168307737098411,0.037897499919526845,1.3637595482744282,26.673290664376648
50,48,11,3,Interaction SAMS-Fish Oil,0.034652652510800096,0.016509618979571226,2.0989371440781768,52.35683913540032
50,48,12,1,SAMS status,0.060771424359209715,0.03150798864995312,1.9287624175051916,48.15328259592094
50,48,12,2,Fish Oil,0.032538944976380414,0.042433938781746276,0.7668141565585146,-30.409694636837514
50,48,12,3,Interaction SAMS-Fish Oil,0.026349739539559314,0.016663469789256244,1.581287683346015,36.76040036661807
50,48,13,1,SAMS status,0.02576433154474438,0.017667147766959566,1.4583186762567222,31.427882239919956
50,48,13,2,Fish Oil,0.02586164445079663,0.03861358009615899,0.6697551583249636,-49.308293869802846
