heterogeneity,n,m,rep,coef_mse_mlm,coef_mse_bayes,ratio_coef_mse,test_mse_mlm,test_mse_bayes,ratio_test_mse
moderate,60.0,770.0,9,0.02908364099223722,0.007474140818043472,3.8912353540390656,1.2648201006740827,1.0678039451268861,1.1845059258736728
moderate,60.0,770.0,10,0.03328901900968154,0.007860274808774785,4.235096077368629,1.3820211746608946,1.0906747910937566,1.2671248899729022
moderate,200.0,300.0,1,0.008084918644335371,0.0037347595048290074,2.1647762416513436,1.0678659496130058,1.0282272249896593,1.038550549586688
moderate,200.0,300.0,2,0.007975612958051888,0.0035679057638149094,2.235376572705252,1.07848116908803,1.038950821933978,1.0380483332988442
moderate,200.0,300.0,3,0.00827671415865485,0.003752906005056501,2.205414723284614,1.071217179432834,1.0275922911824757,1.0424534989457326
moderate,200.0,300.0,4,0.00796374384590298,0.0036949783838739663,2.1552883450304425,1.0754762141871095,1.0291102936122414,1.0450543745045255
moderate,200.0,300.0,5,0.007576893271615558,0.0035652809784654333,2.125188257918679,1.077662066241956,1.0428613586831936,1.0333704065924014
moderate,200.0,300.0,6,0.008547078483230396,0.003741450780989995,2.284428951105652,1.0752342248517943,1.0272289036413398,1.0467328372870783
moderate,200.0,300.0,7,0.008043359494937464,0.003644324996367296,2.207091711895941,1.097248020888882,1.0501895216362214,1.044809530359189
moderate,200.0,300.0,8,0.007812184094010369,0.0036225489832895333,2.156543398045745,1.0905714506517896,1.0496285337334714,1.0390070540219467
moderate,200.0,300.0,9,0.007842558639752898,0.003608876548806376,2.173130206503406,1.0989547157134274,1.0529119711080863,1.043728959180591
moderate,200.0,300.0,10,0.008237976423526689,0.003793201786723136,2.1717738435010325,1.08790325103263,1.042031168929112,1.0440217946173918
moderate,200.0,770.0,1,0.007281535928007631,0.0034420499154736877,2.115464942932288,1.069248984811354,1.0317553080208612,1.0363396984721251
moderate,200.0,770.0,2,0.008236646173582891,0.0037584615708547327,2.191494051037949,1.071605585899621,1.025910655198562,1.044540848142585
moderate,200.0,770.0,3,0.008283935195515131,0.00369924647129133,2.239357463689999,1.0997480169653047,1.0522815329596265,1.0451081602393753
moderate,200.0,770.0,4,0.006947607922400956,0.0034109944216917445,2.0368276999278008,1.0616130930104644,1.0286856041582448,1.0320092832242593
moderate,200.0,770.0,5,0.008232460380489349,0.003670314336276662,2.24298510324343,1.0805201234189206,1.0277559479010638,1.0513392071586785
