n_train,n_test,repetition,covariate_index,covariate,mse_mlm,mse_bayes,ratio_mlm_bayes,percent_reduction
250,534,30,5,PercentEmphysema,6.611366527367437e-5,4.8330004769230834e-5,1.367963144000463,26.898615332895137
250,534,30,6,COPD: 1,0.008792616257295698,0.005536303422330933,1.5881745609950277,37.034629280708465
250,534,30,7,NHW: 1,0.021517565424957932,0.015585234547964448,1.3806378953577116,27.569712278474846
250,534,30,8,CurrentSmoker: 1,0.010694585110188356,0.008599339784433276,1.2436518823861271,19.59164665265054
250,534,30,9,Site: UIA,0.005933533622841478,0.004897342269859064,1.2115823840534294,17.46330970458373
250,534,31,1,Sex: Female,0.006979708367229883,0.005698417411164815,1.2248503160815591,18.357370948058517
250,534,31,2,Age,2.907261240684842e-5,2.2439565605484218e-5,1.2955960430777274,22.815448121895308
250,534,31,3,BMI,0.00010560153252939377,7.430128619105544e-5,1.4212611644144908,29.639954637614785
250,534,31,4,SmokingPackYears,1.3169716129615988e-5,7.533405046932853e-6,1.748175764819376,42.79751383561129
250,534,31,5,PercentEmphysema,8.205940772215286e-5,6.202896404164352e-5,1.3229208159443349,24.40968590503474
250,534,31,6,COPD: 1,0.007215822097312972,0.005876235386307721,1.227966822793831,18.564575081529334
250,534,31,7,NHW: 1,0.03165148092850956,0.02077777973056793,1.5233331635499252,34.35447846027109
250,534,31,8,CurrentSmoker: 1,0.009275840492771532,0.007263123555515152,1.277114511665997,21.69848585499986
250,534,31,9,Site: UIA,0.0064814738096669175,0.0056587371502959585,1.1453922734912556,12.69366634088489
250,534,32,1,Sex: Female,0.006003990583110352,0.004755732652703219,1.262474369684681,20.7904711562768
250,534,32,2,Age,2.6838962730521717e-5,1.8036336386568724e-5,1.4880495769921502,32.79793795436997
250,534,32,3,BMI,0.00010789787915558161,7.988560326387482e-5,1.3506548708054167,25.96184105835384
250,534,32,4,SmokingPackYears,1.244528472305581e-5,6.112765270135494e-6,2.0359500443863685,50.88288129872076
250,534,32,5,PercentEmphysema,7.650790820633336e-5,4.854486851821851e-5,1.5760246250872127,36.54921477228423
250,534,32,6,COPD: 1,0.00705220607135001,0.003490283815725284,2.0205251044561705,50.50791510610046
250,534,32,7,NHW: 1,0.02335198344300655,0.014258424610250108,1.6377674309277659,38.9412696139941
250,534,32,8,CurrentSmoker: 1,0.012571777365939417,0.008064636809976213,1.5588770656587694,35.85125972859138
250,534,32,9,Site: UIA,0.004992419948897907,0.0031769568956559286,1.5714471781862656,36.36438985151374
250,534,33,1,Sex: Female,0.005896362225251681,0.004695361210620758,1.255784584136849,20.368508052092395
250,534,33,2,Age,3.790737850421674e-5,3.254896521532893e-5,1.1646262255478483,14.135541681659024
250,534,33,3,BMI,0.00012482353420794834,0.00011428876939325169,1.0921767280427002,8.439726435838912
250,534,33,4,SmokingPackYears,1.0186969512104193e-5,5.4416347258539e-6,1.872042139047776,46.58239902074772
250,534,33,5,PercentEmphysema,6.885367204913635e-5,5.595825115172024e-5,1.230447175027908,18.7287337241992
250,534,33,6,COPD: 1,0.009046144819599587,0.008441412887987896,1.071638710205992,6.684968499525512
250,534,33,7,NHW: 1,0.021725786251092356,0.019943653002598077,1.0893584163474024,8.202848117428541
250,534,33,8,CurrentSmoker: 1,0.007721658418818562,0.006170381741253949,1.2514069214215848,20.08994173821488
250,534,33,9,Site: UIA,0.005719614146168782,0.004403211623661945,1.2989641732032056,23.01558267507634
250,534,34,1,Sex: Female,0.00480406903551546,0.003665100418756952,1.310760548586769,23.708414852874824
250,534,34,2,Age,3.183990079512236e-5,2.4192876504189888e-5,1.3160857820940848,24.01711092047102
250,534,34,3,BMI,0.00011013545375565116,9.482472899840319e-5,1.1614634169690672,13.901722138646356
250,534,34,4,SmokingPackYears,1.9894404626170863e-5,1.002095668441891e-5,1.9852799740271991,49.6292707787975
250,534,34,5,PercentEmphysema,7.314598613955191e-5,4.584141038805962e-5,1.5956312321185553,37.32887775878656
250,534,34,6,COPD: 1,0.007873978099862315,0.007113502481141283,1.1069059328702198,9.658086536135146
250,534,34,7,NHW: 1,0.02310292428548048,0.017472407561864686,1.3222519108302495,24.371446030121866
250,534,34,8,CurrentSmoker: 1,0.00991231308817188,0.006560182019356979,1.5109814116321536,33.81784896216522
250,534,34,9,Site: UIA,0.0066436503228405955,0.004558936573718208,1.4572807090891644,31.379040855826325
250,534,35,1,Sex: Female,0.0066218719817320686,0.005588951778350346,1.1848146565484599,15.598613295926988
250,534,35,2,Age,3.181046836631828e-5,2.3690529669090108e-5,1.3427504074686245,25.52599541673447
250,534,35,3,BMI,0.00011619933569702971,8.46827833109127e-5,1.3721719002834853,27.12283353176057
250,534,35,4,SmokingPackYears,1.2455367683343909e-5,6.45699390584356e-6,1.9289731204596368,48.158945845667375
250,534,35,5,PercentEmphysema,7.871941330991973e-5,4.335732988777271e-5,1.8155964288778665,44.921680606187785
250,534,35,6,COPD: 1,0.011586106225504695,0.00812257769863015,1.4264075587062295,29.893809528953064
250,534,35,7,NHW: 1,0.02155451570731545,0.016382215113955663,1.3157265703924015,23.99636653216173
250,534,35,8,CurrentSmoker: 1,0.01059175218548986,0.007454484057139079,1.4208565078821591,29.619916265116863
250,534,35,9,Site: UIA,0.0047830537825065715,0.0036184546518712025,1.3218498620766528,24.348443140964594
250,534,36,1,Sex: Female,0.0070749220022569255,0.005739975047554935,1.232570166880889,18.868716210244262
250,534,36,2,Age,2.8803991740592032e-5,2.1917227006196898e-5,1.3142169733629152,23.90906370345177
250,534,36,3,BMI,0.0001168976451553769,8.554448928396052e-5,1.3665128652219922,26.82103290424943
250,534,36,4,SmokingPackYears,1.3256088869476676e-5,5.965932306305347e-6,2.2219643450306035,54.994777380812245
250,534,36,5,PercentEmphysema,8.602339796617247e-5,3.90711522052496e-5,2.20171131668378,54.580784845753485
250,534,36,6,COPD: 1,0.008251771313053624,0.006591801282854167,1.2518234332271485,20.1165297391788
250,534,36,7,NHW: 1,0.021086238715635957,0.016552896501045473,1.2738700271764618,21.499055738323314
250,534,36,8,CurrentSmoker: 1,0.008828018182753071,0.008238987235512859,1.071493125356632,6.672289692277456
250,534,36,9,Site: UIA,0.007056735075409212,0.005077468134131234,1.3898137593366964,28.047913378173728
250,534,37,1,Sex: Female,0.00564532940306459,0.004813633546596681,1.1727792214378119,14.732459296642975
250,534,37,2,Age,3.466202082083725e-5,2.076447640578191e-5,1.669294238076022,40.09444367623472
250,534,37,3,BMI,0.00012072089842400764,7.776599142871954e-5,1.5523610797743208,35.58199744705156
250,534,37,4,SmokingPackYears,1.0516315255097832e-5,4.630859311633638e-6,2.2709209128160643,55.965001055014895
250,534,37,5,PercentEmphysema,7.273295009348945e-5,4.2159365605834826e-5,1.7251908098783928,42.03539722829331
250,534,37,6,COPD: 1,0.008591965199545087,0.00606486614404113,1.4166784551357148,29.4123520849195
250,534,37,7,NHW: 1,0.02317231963036324,0.016750132427452838,1.38341113007469,27.714908586429377
250,534,37,8,CurrentSmoker: 1,0.00689852141216821,0.0063082695125518005,1.0935679584459672,8.55620885042513
250,534,37,9,Site: UIA,0.007074254211977185,0.004985492323381501,1.4189680282526127,29.526248647656328
250,534,38,1,Sex: Female,0.005787590266994074,0.005166061652469566,1.1203099491132467,10.738987831758074
250,534,38,2,Age,4.594978841350209e-5,3.194194211749254e-5,1.438540845277481,30.485115992162925
250,534,38,3,BMI,0.00014530128979974743,9.962585662771627e-5,1.4584696655880407,31.43498122761369
250,534,38,4,SmokingPackYears,1.2602833569647839e-5,6.304136137871426e-6,1.9991372797198428,49.97842268540262
250,534,38,5,PercentEmphysema,7.716419538881717e-5,4.126607373460065e-5,1.8699185167237458,46.52173391212341
250,534,38,6,COPD: 1,0.008413486625030164,0.0054854166894808525,1.5337917065014122,34.80209889248875
250,534,38,7,NHW: 1,0.027415468414569332,0.017105167027139767,1.602759468590445,37.60760615693288
250,534,38,8,CurrentSmoker: 1,0.011092868208248948,0.007817658013906296,1.4189503030852213,29.52536830742404
250,534,38,9,Site: UIA,0.007161568163642712,0.004320030975796053,1.657758521586306,39.677583497317706
250,534,39,1,Sex: Female,0.006211028616668663,0.004774695089510948,1.3008220420845413,23.125533881827522
250,534,39,2,Age,4.497759570070973e-5,3.570515125867676e-5,1.259694865171021,20.615696098416958
250,534,39,3,BMI,0.00015197057222574148,0.00012649837073545298,1.2013638700814473,16.761272341892187
250,534,39,4,SmokingPackYears,1.4417990381335218e-5,6.710477626654074e-6,2.1485788618185446,53.45760782764073
250,534,39,5,PercentEmphysema,0.00010908531745570955,7.771687576607457e-5,1.4036245844989066,28.75587881235354
250,534,39,6,COPD: 1,0.011765949829982162,0.008460302463032985,1.39072449021688,28.09503197545241
250,534,39,7,NHW: 1,0.03299613091739729,0.023890161038966025,1.3811598366197273,27.59708373453603
250,534,39,8,CurrentSmoker: 1,0.008555502890275613,0.007741701409984148,1.1051192027687788,9.512023907051104
250,534,39,9,Site: UIA,0.008619162375882351,0.005329276820460534,1.6173230752043237,38.16943470780163
250,534,40,1,Sex: Female,0.006868713454343654,0.005950317333563961,1.154344057517621,13.37071530038737
250,534,40,2,Age,3.506738985042297e-5,2.427108698156393e-5,1.444821563906874,30.78730100788729
250,534,40,3,BMI,0.00011923163161758682,0.00010389182667540784,1.1476517011304994,12.865549799216481
250,534,40,4,SmokingPackYears,1.59910965465229e-5,8.379103110071324e-6,1.9084496677576726,47.601447557432984
250,534,40,5,PercentEmphysema,7.2842145675325e-5,6.269753000196731e-5,1.161802477275251,13.926849050513546
250,534,40,6,COPD: 1,0.009992344610418057,0.005289489662846323,1.8890942694537918,47.064579244680175
250,534,40,7,NHW: 1,0.022797095917513034,0.015570809804603633,1.4640918618614744,31.69827481121431
250,534,40,8,CurrentSmoker: 1,0.009064057139399256,0.005783879454966232,1.5671241439197967,36.188846054101845
250,534,40,9,Site: UIA,0.0068997600526311785,0.004239765168062387,1.6273920321356934,38.55199114575613
250,534,41,1,Sex: Female,0.005933306876359004,0.004533006476015335,1.3089120670250134,23.600673781481007
250,534,41,2,Age,2.2559278378532078e-5,1.7254156006092503e-5,1.3074692480215386,23.516365565522925
250,534,41,3,BMI,9.947039701411812e-5,8.591454032232336e-5,1.1577830323125469,13.628031151691033
250,534,41,4,SmokingPackYears,1.2984957982415415e-5,5.8383486179731216e-6,2.224080614583676,55.037601000484
250,534,41,5,PercentEmphysema,0.00010974964914736712,5.628721711541332e-5,1.9498148029299889,48.71307785245559
250,534,41,6,COPD: 1,0.007704697086708517,0.0047803864587056205,1.6117310082069616,37.954907183147625
250,534,41,7,NHW: 1,0.024437164634588834,0.017491450085930504,1.3970919800551707,28.422751381014276
250,534,41,8,CurrentSmoker: 1,0.012190405385316173,0.008473804021895747,1.4385989283935496,30.487922640351396
250,534,41,9,Site: UIA,0.005813291778956871,0.004074250146586699,1.4268372264346842,29.914920814145397
250,534,42,1,Sex: Female,0.005635475015476105,0.004563576282472519,1.2348813006852681,19.020556919513343
250,534,42,2,Age,2.8948908416545262e-5,1.4929631548639252e-5,1.9390236337871167,48.42765283644867
250,534,42,3,BMI,0.00014091196493517462,8.448467038585262e-5,1.6678998011309165,40.04436001959159
250,534,42,4,SmokingPackYears,1.4563332416969582e-5,5.943864707946463e-6,2.450145340202578,59.18609465358002
250,534,42,5,PercentEmphysema,5.982489958334789e-5,3.561838935197682e-5,1.6796070982369564,40.4622663806508
250,534,42,6,COPD: 1,0.010159323401637685,0.005150539667243185,1.9724774602261126,49.30233575975229
250,534,42,7,NHW: 1,0.024022559952703415,0.016511919990862073,1.4548616978520872,31.264944188415356
250,534,42,8,CurrentSmoker: 1,0.008965326819871,0.00636215035710181,1.4091661335641603,29.03604648298417
250,534,42,9,Site: UIA,0.006383110490407078,0.00482770033684029,1.3221844864101067,24.36758937361889
250,534,43,1,Sex: Female,0.005937896393305538,0.004716048650724012,1.2590829385091156,20.577114547822926
250,534,43,2,Age,3.264069949341075e-5,1.9814194084628767e-5,1.6473392434735656,39.2960494347595
250,534,43,3,BMI,9.726727245813955e-5,7.069988773787066e-5,1.3757769010719088,27.31379635601745
250,534,43,4,SmokingPackYears,1.976233182370695e-5,6.989129780290094e-6,2.8275811789098997,64.63408345413008
250,534,43,5,PercentEmphysema,7.743735707297851e-5,6.648739724270489e-5,1.164692261757548,14.140410060681896
250,534,43,6,COPD: 1,0.010374107053113875,0.0074923569990419546,1.384625299413844,27.778294934858405
250,534,43,7,NHW: 1,0.019562405519520973,0.017470562506905676,1.119735298264635,10.693178865594444
250,534,43,8,CurrentSmoker: 1,0.0072844915281663055,0.006628299460944214,1.0989985547708818,9.008069604925083
250,534,43,9,Site: UIA,0.007088187763819615,0.004803804778425348,1.4755361824139472,32.22802585809721
250,534,44,1,Sex: Female,0.0068870458134810625,0.004830345076166322,1.4257875379261873,29.86332301273279
250,534,44,2,Age,2.9595009392697856e-5,2.298645123974384e-5,1.2874979736553567,22.32997484563929
250,534,44,3,BMI,0.00012608247402307263,9.573902531950578e-5,1.3169391854816042,24.066349378593333
250,534,44,4,SmokingPackYears,1.3676093286209972e-5,5.0088695073298415e-6,2.7303752406000505,63.3749975047301
