n_train,n_test,covariate_index,covariate,mean_mse_mlm,mean_mse_bayes,sd_mse_mlm,sd_mse_bayes,mean_repetition_ratio,median_repetition_ratio,sd_repetition_ratio,se_repetition_ratio,ratio_of_mean_mses,percent_reduction_from_mean_mses,R
60,724,8,CurrentSmoker: 1,0.034060591336915406,0.011369937654446185,0.00985547286757889,0.002626862230871342,3.0081328738350193,2.90578290095977,0.5791611607962883,0.057916116079628835,2.995670897420981,66.61849601500234,100
80,704,8,CurrentSmoker: 1,0.025793376377553887,0.010283579671186514,0.00716959943446456,0.002421140139407675,2.5187720354781167,2.497119820958627,0.4412558590476356,0.04412558590476356,2.5082099037773937,60.13092849629578,100
100,684,8,CurrentSmoker: 1,0.020275187521625927,0.009127357737949782,0.00433673749630872,0.0017811339883446835,2.246192887154085,2.240984421823694,0.3732998878493729,0.03732998878493729,2.2213643974231045,54.98262233967327,100
125,659,8,CurrentSmoker: 1,0.016903636811983536,0.008860547091704871,0.0036059927661370728,0.0017665113069538824,1.9191185240589286,1.863014647144888,0.26615942860133973,0.026615942860133975,1.907741885126766,47.58200740906039,100
150,634,8,CurrentSmoker: 1,0.01421506175365429,0.008171907120933086,0.002561180458221496,0.0013986044730194228,1.752717921097792,1.7437358924104291,0.23376218720555647,0.023376218720555647,1.7395035875091032,42.51233471544842,100
200,584,8,CurrentSmoker: 1,0.01151772008735661,0.007404731985396249,0.001990073311549017,0.0014614890597857886,1.5719232849238827,1.566805948093348,0.190527030267221,0.0190527030267221,1.5554540137404127,35.710089069409904,100
250,534,8,CurrentSmoker: 1,0.009610674655391472,0.00688024390639225,0.0015266143614270239,0.0010433165287639257,1.4072142349876475,1.4174327590457656,0.1787273609559111,0.01787273609559111,1.396850865484936,28.410396219868737,100
300,484,8,CurrentSmoker: 1,0.009195064601387342,0.006930601436124911,0.0015932002235446757,0.0012389225185824057,1.3351379971991555,1.3308662540416416,0.1456626232788158,0.01456626232788158,1.326734005141198,24.626941336777243,100
400,384,8,CurrentSmoker: 1,0.008337805804923942,0.007033936664806124,0.0013246487888872113,0.0011997550591084983,1.1911233786799347,1.1785957257189876,0.09496656448016721,0.009496656448016722,1.185368336715576,15.6380368003751,100
500,284,8,CurrentSmoker: 1,0.009422646315419305,0.008530988880437703,0.00171977316232412,0.0015419944618550094,1.107402245824442,1.1066544866063874,0.08621036248063199,0.008621036248063199,1.1045198214976284,9.462919493459976,100
600,184,8,CurrentSmoker: 1,0.012096764289315444,0.01139282600747319,0.0024672713308094354,0.002511494801712344,1.0664127021111345,1.070921174925168,0.06172124411314177,0.0061721244113141765,1.061787855039698,5.819227894388357,100
40,744,9,Site: UIA,0.035563908100763125,0.009118490968415447,0.007834884263725268,0.0024229099283204474,3.9906559687015597,3.905847329186737,0.7130784579098908,0.07130784579098907,3.9001966689388734,74.36026731769734,100
60,724,9,Site: UIA,0.022848626074714953,0.007605935148120156,0.00430352693775106,0.0013652653190857423,3.0259270509648726,2.999609590861245,0.44107263412168024,0.04410726341216802,3.0040521815863896,66.71163017308453,100
80,704,9,Site: UIA,0.016363781528894283,0.006695685017727127,0.0026758038167624073,0.0011920597653551797,2.470015029205499,2.434605472146269,0.3392491848647725,0.03392491848647725,2.443929409100105,59.08228788129293,100
100,684,9,Site: UIA,0.013150888558345383,0.006078537923693715,0.00217548840201882,0.000976734499511874,2.1831650274705043,2.0916757889272137,0.321080485791802,0.0321080485791802,2.163495354217359,53.77850023802115,100
125,659,9,Site: UIA,0.011190151612198487,0.005814899678546731,0.0020422359223191233,0.0008833417099190456,1.9326063369061666,1.9525156985083378,0.26336756437148284,0.026336756437148286,1.9243928925348455,48.03555948064317,100
150,634,9,Site: UIA,0.009533139878603826,0.00545537623486046,0.001469789847351469,0.0007861940725947554,1.7579282156167264,1.7370190916267951,0.21166656984783702,0.0211666569847837,1.7474761534660075,42.77461251665359,100
